dol vehicle id,clean_alternative_fuel_vehicle_type,make,model,new_or_used_vehicle,sale_price,dol_transaction_date,transaction_type,transaction_year,electric_vehicle_fee_paid,electric_range,vehicle_primary_use,meets_2019_hb_2042_electric_range_requirement
187548546,Plug-in Hybrid Electric Vehicle (PHEV),CHEVROLET,Volt,Used,17644,August 30 2018,Original Title,2018,Not Applicable,38,Passenger,TRUE
187548546,Plug-in Hybrid Electric Vehicle (PHEV),CHEVROLET,Volt,Used,0,August 30 2018,Original Registration,2018,No,38,Passenger,TRUE
187548546,Plug-in Hybrid Electric Vehicle (PHEV),CHEVROLET,Volt,Used,0,August 05 2019,Registration Renewal,2019,Yes,38,Passenger,TRUE
187548546,Plug-in Hybrid Electric Vehicle (PHEV),CHEVROLET,Volt,Used,0,August 18 2020,Registration Renewal,2020,Yes,38,Passenger,TRUE
187548546,Plug-in Hybrid Electric Vehicle (PHEV),CHEVROLET,Volt,Used,0,August 18 2021,Registration Renewal,2021,Yes,38,Passenger,TRUE
187548546,Plug-in Hybrid Electric Vehicle (PHEV),CHEVROLET,Volt,Used,0,September 19 2022,Registration Renewal,2022,Yes,38,Passenger,TRUE
348673034,Battery Electric Vehicle (BEV),CHEVROLET,Bolt EV,New,40225,September 27 2017,Original Title,2017,Not Applicable,238,Passenger,TRUE
476667740,Plug-in Hybrid Electric Vehicle (PHEV),CHEVROLET,Volt,Used,17000,September 12 2019,Transfer Title,2019,Not Applicable,53,Passenger,TRUE
476667740,Plug-in Hybrid Electric Vehicle (PHEV),CHEVROLET,Volt,Used,0,September 12 2019,Registration at time of Transfer,2019,Yes,53,Passenger,TRUE
476667740,Plug-in Hybrid Electric Vehicle (PHEV),CHEVROLET,Volt,Used,0,September 16 2020,Registration Renewal,2020,Yes,53,Passenger,TRUE
319883126,Battery Electric Vehicle (BEV),CHEVROLET,Bolt EV,Used,17788,January 20 2021,Transfer Title,2021,Not Applicable,238,Passenger,TRUE
319883126,Battery Electric Vehicle (BEV),CHEVROLET,Bolt EV,Used,0,January 20 2021,Registration at time of Transfer,2021,Yes,238,Passenger,TRUE
319883126,Battery Electric Vehicle (BEV),CHEVROLET,Bolt EV,Used,0,December 07 2021,Registration Renewal,2021,Yes,238,Passenger,TRUE
213591584,Battery Electric Vehicle (BEV),CHEVROLET,Bolt EV,New,40175,September 07 2022,Original Title,2022,Not Applicable,0,Passenger,FALSE
213591584,Battery Electric Vehicle (BEV),CHEVROLET,Bolt EV,New,0,September 07 2022,Original Registration,2022,No,0,Passenger,FALSE
147252010,Battery Electric Vehicle (BEV),CHEVROLET,Bolt EV,New,41700,March 17 2021,Original Title,2021,Not Applicable,0,Passenger,FALSE
147252010,Battery Electric Vehicle (BEV),CHEVROLET,Bolt EV,New,0,March 17 2021,Original Registration,2021,No,0,Passenger,FALSE
